component,endpoint_version,inputs,outputs,subscriptions,recording,transcription,logs,training_use,processing_region,storage_region,retention,deletion,cancellation,usage_end,controller,subprocessor,access_roles,notice_version,consent_version,config_ref,evidence_ref,reviewer,reviewed_at,result,missing
product-DB,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
OpenAI-Responses,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
OpenAI-Realtime,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
OpenAI-TTS,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
OpenAI-Images,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
OpenAI-voice-consents,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
OpenAI-custom-voices,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
Runway-Characters,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
Simli-Compose,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
LTX-audio-to-video,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
LiveKit-Cloud,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
LiveKit-self-hosted,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
LiveKit-egress,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
object-storage,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
CDN-cache,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
backup,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
research-evidence,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,待核,,待核,,not-verified,实际账号/配置/地区/期限/删除及终态证据未取得
