plan_id,experiment,case_id,provider,mode,group,actor_state,cache_state,start_band,language,device,network,role,speed,register,duration_s,resolution,fps,script_hash,audio_hash,reference_hash,consent_id,expected,actual,status
X1-001,X1,same-device,WeChat,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-002,X1,cancel-retry,WeChat,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-003,X1,duplicate-callback,WeChat,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-004,X1,invalid-state,WeChat,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-005,X1,network-failure,WeChat,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-006,X1,external-browser,WeChat,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-007,X1,same-device,WeChat,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-008,X1,cancel-retry,WeChat,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-009,X1,duplicate-callback,WeChat,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-010,X1,invalid-state,WeChat,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-011,X1,network-failure,WeChat,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-012,X1,external-browser,WeChat,,,,,,id,iPhone-WeChat,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-013,X1,same-device,WeChat,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-014,X1,cancel-retry,WeChat,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-015,X1,duplicate-callback,WeChat,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-016,X1,invalid-state,WeChat,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-017,X1,network-failure,WeChat,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-018,X1,external-browser,WeChat,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-019,X1,same-device,WeChat,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-020,X1,cancel-retry,WeChat,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-021,X1,duplicate-callback,WeChat,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-022,X1,invalid-state,WeChat,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-023,X1,network-failure,WeChat,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-024,X1,external-browser,WeChat,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-025,X1,same-device,WeChat,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-026,X1,cancel-retry,WeChat,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-027,X1,duplicate-callback,WeChat,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-028,X1,invalid-state,WeChat,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-029,X1,network-failure,WeChat,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
