pair_id,reviewer_slot,reviewer_background_blinded,consent_id,listening_order,intelligibility,register_fit,local_authenticity,naturalness,continuity,low_score_second,reason,adjudication_needed,adjudicator,final_review_ref,status
pair-01,independent-1,,,,,,,,,,,,,,planned
pair-01,independent-2,,,,,,,,,,,,,,planned
pair-02,independent-1,,,,,,,,,,,,,,planned
pair-02,independent-2,,,,,,,,,,,,,,planned
pair-03,independent-1,,,,,,,,,,,,,,planned
pair-03,independent-2,,,,,,,,,,,,,,planned
pair-04,independent-1,,,,,,,,,,,,,,planned
pair-04,independent-2,,,,,,,,,,,,,,planned
pair-05,independent-1,,,,,,,,,,,,,,planned
pair-05,independent-2,,,,,,,,,,,,,,planned
pair-06,independent-1,,,,,,,,,,,,,,planned
pair-06,independent-2,,,,,,,,,,,,,,planned
pair-07,independent-1,,,,,,,,,,,,,,planned
pair-07,independent-2,,,,,,,,,,,,,,planned
pair-08,independent-1,,,,,,,,,,,,,,planned
pair-08,independent-2,,,,,,,,,,,,,,planned
pair-09,independent-1,,,,,,,,,,,,,,planned
pair-09,independent-2,,,,,,,,,,,,,,planned
pair-10,independent-1,,,,,,,,,,,,,,planned
pair-10,independent-2,,,,,,,,,,,,,,planned
pair-11,independent-1,,,,,,,,,,,,,,planned
pair-11,independent-2,,,,,,,,,,,,,,planned
pair-12,independent-1,,,,,,,,,,,,,,planned
pair-12,independent-2,,,,,,,,,,,,,,planned
pair-13,independent-1,,,,,,,,,,,,,,planned
pair-13,independent-2,,,,,,,,,,,,,,planned
pair-14,independent-1,,,,,,,,,,,,,,planned
pair-14,independent-2,,,,,,,,,,,,,,planned
pair-15,independent-1,,,,,,,,,,,,,,planned
pair-15,independent-2,,,,,,,,,,,,,,planned
pair-16,independent-1,,,,,,,,,,,,,,planned
pair-16,independent-2,,,,,,,,,,,,,,planned
pair-17,independent-1,,,,,,,,,,,,,,planned
pair-17,independent-2,,,,,,,,,,,,,,planned
pair-18,independent-1,,,,,,,,,,,,,,planned
pair-18,independent-2,,,,,,,,,,,,,,planned
pair-19,independent-1,,,,,,,,,,,,,,planned
pair-19,independent-2,,,,,,,,,,,,,,planned
pair-20,independent-1,,,,,,,,,,,,,,planned
pair-20,independent-2,,,,,,,,,,,,,,planned
pair-21,independent-1,,,,,,,,,,,,,,planned
pair-21,independent-2,,,,,,,,,,,,,,planned
pair-22,independent-1,,,,,,,,,,,,,,planned
pair-22,independent-2,,,,,,,,,,,,,,planned
pair-23,independent-1,,,,,,,,,,,,,,planned
pair-23,independent-2,,,,,,,,,,,,,,planned
pair-24,independent-1,,,,,,,,,,,,,,planned
pair-24,independent-2,,,,,,,,,,,,,,planned
pair-25,independent-1,,,,,,,,,,,,,,planned
pair-25,independent-2,,,,,,,,,,,,,,planned
pair-26,independent-1,,,,,,,,,,,,,,planned
pair-26,independent-2,,,,,,,,,,,,,,planned
pair-27,independent-1,,,,,,,,,,,,,,planned
pair-27,independent-2,,,,,,,,,,,,,,planned
pair-28,independent-1,,,,,,,,,,,,,,planned
pair-28,independent-2,,,,,,,,,,,,,,planned
pair-29,independent-1,,,,,,,,,,,,,,planned
pair-29,independent-2,,,,,,,,,,,,,,planned
pair-30,independent-1,,,,,,,,,,,,,,planned
pair-30,independent-2,,,,,,,,,,,,,,planned
