experiment,supplier_endpoint,unit,unit_price_usd,checked_at,source,samples,expected_input_output,active_role_seconds,recording_transfer,success_attempts,max_retries,cost_low_usd,cost_high_usd,proposed_pool_cap_usd,approved_cap_usd,actual_cost_usd,termination_proof,assumptions
X2,OpenAI /audio/speech gpt-4o-mini-tts,USD/M text input;audio output,0.60;12,2026-09-13,https://developers.openai.com/api/docs/models/gpt-4o-mini-tts,30,每段400 text in/2000 audio out,0,共用infra池,30,1,0.7272,1.4544,25,0,0,未调用；终止证据待实际实验,需账号核对及可执行最大暴露限制
X2,OpenAI Realtime gpt-realtime-2.1,USD/M text in;out;audio in;out,4;24;32;64,2026-09-13,https://developers.openai.com/api/docs/models/gpt-realtime-2.1,30,每段2000/1000/6000/2000 tokens,0,共用infra池,30,1,10.56,21.12,25,0,0,未调用；终止证据待实际实验,需账号核对及可执行最大暴露限制
X3,OpenAI /audio/speech gpt-4o-mini-tts,USD/M text input;audio output,0.60;12,2026-09-13,https://developers.openai.com/api/docs/models/gpt-4o-mini-tts,330,每10秒块400 text in/2000 audio out，三路线共用hash,0,共用infra池,330,1,7.9992,15.9984,900,0,0,未调用；终止证据待实际实验,需账号核对及可执行最大暴露限制
X3,Runway Characters gwm1_avatars,USD/start;6 role seconds,0.02;0.02,2026-09-13,https://docs.dev.runwayml.com/guides/pricing/,40,80流开始；30x10s+10x300s两角色及60s预备,11400,共用infra池,40,1,40.00,80.00,900,0,0,未调用；终止证据待实际实验,逐流6秒进位：30x2x72+10x2x360=11520计费秒，活跃/预备原量11400；真实取整及可执行最大暴露待账号核实
X3,LTX /v2/audio-to-video ltx-2-5-fast720p,USD/input audio second,.09,2026-09-13,https://docs.ltx.io/pricing,330,330个10秒块/24fps,0,共用infra池,330,1,297,594,900,0,0,未调用；终止证据待实际实验,需账号核对及可执行最大暴露限制
X3,Simli Compose,paid角色秒/建角/录存待核,未核实；不得执行,2026-09-13,https://www.simli.com/,40,与Runway相同音轨/两角色,11400,共用infra池,40,1,未知,未知,900,0,0,未调用；终止证据待实际实验,150为该路线建议占位，非价格估计；paid单价及最大暴露未知
X4,OpenAI /responses gpt-6-astra,USD/M text in;cache write;out,10;12.50;50,2026-09-13,https://developers.openai.com/api/docs/models/gpt-6-astra,120,每次8k in/2k out含推理；无Fast/tools/长上下文,0,共用infra池,120,1,21.6,48,1000,0,0,未调用；终止证据待实际实验,需账号核对及可执行最大暴露限制
X4,OpenAI /audio/speech gpt-4o-mini-tts,USD/M text input;audio output,0.60;12,2026-09-13,https://developers.openai.com/api/docs/models/gpt-4o-mini-tts,1320,每10秒块400 text in/2000 audio out,0,共用infra池,1320,1,31.9968,63.9936,1000,0,0,未调用；终止证据待实际实验,需账号核对及可执行最大暴露限制
X4,OpenAI Realtime gpt-realtime-2.1,USD/M text in;out;audio in;out,4;24;32;64,2026-09-13,https://developers.openai.com/api/docs/models/gpt-realtime-2.1,120,每次40k/8k/12k/8k tokens,0,共用infra池,120,1,149.76,299.52,1000,0,0,未调用；终止证据待实际实验,需账号核对及可执行最大暴露限制
X4,Runway Characters gwm1_avatars,USD/start;6 role seconds,0.02;0.02,2026-09-13,https://docs.dev.runwayml.com/guides/pricing/,120,240流开始；100x120s+20x60s两角色及60s预备,40800,共用infra池,120,1,140.8,281.6,1000,0,0,未调用；终止证据待实际实验,需账号核对及可执行最大暴露限制
X4-alternative,LTX /v2/audio-to-video ltx-2-5-fast720p,USD/input audio second,.09,2026-09-13,https://docs.ltx.io/pricing,1320,1320个10秒块/24fps；替代Runway分支,0,共用infra池,1320,1,1188,2376,3500,0,0,未调用；终止证据待实际实验,与X4 Runway互斥；须实测用途通过及另批替代池，OpenAI共同成本另计
shared-images,OpenAI /images/generations gpt-image-2.5-sunburst-2026-09-08,USD/M text in;image out,5;30,2026-09-13,https://developers.openai.com/api/docs/models/gpt-image-2.5-sunburst,130,每图1k text in/8k image out(未证实上限)，无图像输入,0,共用infra池,130,1,31.85,63.70,75,0,0,未调用；终止证据待实际实验,需账号核对及可执行最大暴露限制
shared-infra,LiveKit Ship/agent/WebRTC/egress/downstream,USD/month;agent min;WebRTC min;video min;raw min;GB,50;.01;.0005;.02;.001;.12,2026-09-13,https://livekit.com/pricing,1,一月；agent2000min/WebRTC5000min,0,video2000min/raw4000min/100GB；已含重试池,1,1,128.5,128.5,150,0,0,未调用；终止证据待实际实验,不扣included额度；observability录音/事件关闭；自托管和对象存储/CDN另核，月费不可自动续授权
excluded-pending,账号/域名/设备/人力/同意/存储/税,待报价,待核,2026-09-13,sources.md及prerequisites.md,未落实,未落实,0,对象存储/CDN/服务器待核,未落实,1,未知,未知,0,0,0,未调用；终止证据待实际实验,不包含于模型估计，不免费；相应执行禁止，需真实报价及总额度内预留或另批
